Company,Role,Experience Level (Years),Salary (INR in LPA)
Infosys,Marketing Analyst,5-7,9.3
Accenture,Business Analyst,2-3,6.7
Infosys,Financial Analyst,2-3,6.9
Capgemini,Financial Analyst,7+,13
Accenture,Business Analyst,3-5,8.5
Cognizant,Business Analyst,3-5,8.3
IBM,Financial Analyst,3-5,9.5
KPMG,Operations Analyst,2-3,6
Infosys,Operations Analyst,0-1,3.7
PwC,Marketing Analyst,3-5,7.4
Infosys,Marketing Analyst,5-7,8.8
Deloitte,Marketing Analyst,1-2,5.2
Capgemini,Marketing Analyst,1-2,4.3
PwC,Operations Analyst,1-2,4.6
McKinsey,Marketing Analyst,1-2,5.3
Cognizant,Marketing Analyst,0-1,4.1
Genpact,Operations Analyst,5-7,9.2
McKinsey,Data Analyst,3-5,7.7
IBM,Marketing Analyst,5-7,9.2
Deloitte,Data Analyst,0-1,4.3
Capgemini,Data Analyst,3-5,8.3
KPMG,Data Analyst,2-3,6
Accenture,Business Analyst,1-2,5.2
Infosys,Operations Analyst,2-3,6.3
IBM,Financial Analyst,2-3,6.3
Genpact,Financial Analyst,0-1,4.8
Accenture,Business Analyst,7+,14.7
Cognizant,Business Analyst,1-2,5.5
IBM,Operations Analyst,2-3,5.8
PwC,Operations Analyst,3-5,6.9
Genpact,Operations Analyst,5-7,8.1
HCL,Financial Analyst,2-3,6.9
TCS,Marketing Analyst,1-2,4.3
Accenture,Marketing Analyst,3-5,7.9
IBM,Marketing Analyst,3-5,7.5
McKinsey,Marketing Analyst,0-1,4.7
Infosys,Data Analyst,0-1,4.3
PwC,Operations Analyst,0-1,3.3
KPMG,Financial Analyst,0-1,5.8
McKinsey,Marketing Analyst,2-3,5.9
TCS,Data Analyst,3-5,8.1
PwC,Marketing Analyst,7+,11
Infosys,Business Analyst,2-3,6.5
Deloitte,Financial Analyst,0-1,4.3
EY,Business Analyst,3-5,8.4
EY,Operations Analyst,3-5,7.2
McKinsey,Marketing Analyst,2-3,5.3
TCS,Operations Analyst,3-5,6.7
EY,Financial Analyst,0-1,4.8
